Label,Title,Artist,Album,Genre,Year,Format,Notes
Capitol Records (CP-9400),I Believe In Music,Helen Reddy,I Don't Know How To Love Him,"Rock, Pop, Folk, World, & Country",1971,"Vinyl (7"", 45 RPM, Single)",
Imperial (IRK-2072),Summer Rain,Johnny Rivers,Summer Rain / Memory Of The Coming Good,Rock,1967,"Vinyl (7"", 45 RPM)",
Imperial (IRK-2072),Memory Of The Coming Good,Johnny Rivers,Summer Rain / Memory Of The Coming Good,Rock,1967,"Vinyl (7"", 45 RPM)",
MGM Records (2006 104),Puppy Love,Donny Osmond,Puppy Love,Rock,1972,"Vinyl (7"", Single, 45 RPM)",
MGM Records (2006 104),Let My People Go,Donny Osmond,Puppy Love,Rock,1972,"Vinyl (7"", Single, 45 RPM)",
Astor (AP-1353),Puppet On A String,Sandie Shaw,Puppet On A String ,Pop,1967,"Vinyl (7"", 45 RPM, Single)",
Astor (AP-1353),Had A Dream Last Night,Sandie Shaw,Puppet On A String ,Pop,1967,"Vinyl (7"", 45 RPM, Single)",
Festival Records (FK-3041),Tea For Two Cha Cha,"Tommy Dorsey And His Orchestra, Warren Covington",Tea For Two Cha Cha / My Baby Just Cares For Me,"Jazz, Latin",1958,"Vinyl (7"", 45 RPM, Single)",
Festival Records (FK-3041),My Baby Just Cares For Me,"Tommy Dorsey And His Orchestra, Warren Covington",Tea For Two Cha Cha / My Baby Just Cares For Me,"Jazz, Latin",1958,"Vinyl (7"", 45 RPM, Single)",
Golden Records (2) (25),Old Macdonald Had A Farm,"Gilbert Mack, The Sandpipers (2), Anne Lloyd",Old Macdonald Had A Farm / The Owl And The Pussycat,"Pop, Children's",0,"Vinyl (6"", 78 RPM)",
Golden Records (2) (25),The Owl And The Pussycat,"Gilbert Mack, The Sandpipers (2), Anne Lloyd",Old Macdonald Had A Farm / The Owl And The Pussycat,"Pop, Children's",0,"Vinyl (6"", 78 RPM)",
Infinity (K-5590),Silvery Moon,Sherbet,Silvery Moon,"Rock, Pop",1974,"Vinyl (7"", Single, 45 RPM)",
Infinity (K-5590),Summer Satisfaction,Sherbet,Silvery Moon,"Rock, Pop",1974,"Vinyl (7"", Single, 45 RPM)",
Red Bird (RB 10-014),Leader Of The Pack,The Shangri-Las,Leader Of The Pack / What Is Love,Rock,1964,"Vinyl (7"", 45 RPM)",
Red Bird (RB 10-014),What Is Love,The Shangri-Las,Leader Of The Pack / What Is Love,Rock,1964,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Marsch,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),La Paloma,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),El Rancho Grande ,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Tres Caballieros,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),La Raspa,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Walzer,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Maria Bonita,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Noches De Ronda,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Sielitos Lindo,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
Polydor (NH-23164),Tipitin,Trio Raisner,Concert In Mexico,"Latin, Blues, Folk, World, & Country",0,"Vinyl (7"", 45 RPM)",
In (IN-S-2610),The Loved One,The Loved Ones (2),The Loved One,Rock,1966,"Vinyl (7"", Single)",
In (IN-S-2610),This Is Love,The Loved Ones (2),The Loved One,Rock,1966,"Vinyl (7"", Single)",
Philips (6009 155),El Condor Pasa,Le Grand Orchestre De Paul Mauriat,El Condor Pasa / Love STory,"Pop, Stage & Screen",0,"Vinyl (7"", 45 RPM, Single)",
Philips (6009 155),Love Story,Le Grand Orchestre De Paul Mauriat,El Condor Pasa / Love STory,"Pop, Stage & Screen",0,"Vinyl (7"", 45 RPM, Single)",
Monument (PK-3101),Along Came Jones,Ray Stevens,Along Came Jones / Yakety Yak,Pop,1969,"Vinyl (7"", Single, 45 RPM, Stereo)",
Monument (PK-3101),Yakety Yak,Ray Stevens,Along Came Jones / Yakety Yak,Pop,1969,"Vinyl (7"", Single, 45 RPM, Stereo)",
Peter Pan Records (1971),Yogi Bear And His Jellystone Friends - Beginning,Unknown Artist,Yogi Bear And His Jellystone Friends,Children's,1974,"Vinyl (7"", 45 RPM)",
Peter Pan Records (1971),Yogi Bear And His Jellystone Friends - Conclusion,Unknown Artist,Yogi Bear And His Jellystone Friends,Children's,1974,"Vinyl (7"", 45 RPM)",
MCA Records (113 043-2),Pumpkin & Honey Bunny,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Misirlou,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Royale With Cheese,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Jungle Boogie,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Let's Stay Together,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Bustin' Surfboards,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Lonesome Town,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Son Of A Preacher Man,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),"Zed's Dead, Baby",Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Bullwinkle Part II,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Jack Rabbit Slims Twist Contest,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),You Never Can Tell,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),"Girl, You'll Be A Woman Soon",Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),If Love Is A Red Dress (Hang Me In Rags),Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Bring Out The Gimp,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Comanche,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Flowers On The Wall,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Personality Goes A Long Way,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Surf Rider,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Ezekiel 25:17,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Collector's Edition Bonus Tracks,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Since I First Met You,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Rumble,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Strawberry Letter #23,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Out Of Limits,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
MCA Records (113 043-2),Stranger Than Fiction - Tarantino Talks!,Various,"Music From The Motion Picture ""Pulp Fiction"" (Collector's Edition)","Rock, Funk / Soul, Non-Music, Stage & Screen",2002,"CD (Compilation, Reissue, Remastered)",
Capitol Records (EAP 1-803),The Lonesome Road,Frank Sinatra,A Swingin' Affair! (Part 1),"Jazz, Pop",1957,"Vinyl (7"", 45 RPM, EP)",
Capitol Records (EAP 1-803),You'd Be So Nice To Come Home To,Frank Sinatra,A Swingin' Affair! (Part 1),"Jazz, Pop",1957,"Vinyl (7"", 45 RPM, EP)",
Capitol Records (EAP 1-803),From This Moment On,Frank Sinatra,A Swingin' Affair! (Part 1),"Jazz, Pop",1957,"Vinyl (7"", 45 RPM, EP)",
Capitol Records (EAP 1-803),Nice Work If You Can Get It,Frank Sinatra,A Swingin' Affair! (Part 1),"Jazz, Pop",1957,"Vinyl (7"", 45 RPM, EP)",
Coronet (2) (KEP 067),Nancy (With The Laughing Face),Frank Sinatra,Nancy,Pop,0,"Vinyl (7"", 45 RPM, EP, Reissue)",
Coronet (2) (KEP 067),Day By Day,Frank Sinatra,Nancy,Pop,0,"Vinyl (7"", 45 RPM, EP, Reissue)",
Coronet (2) (KEP 067),They Say It's Wonderful,Frank Sinatra,Nancy,Pop,0,"Vinyl (7"", 45 RPM, EP, Reissue)",
Coronet (2) (KEP 067),The Girl That I Marry,Frank Sinatra,Nancy,Pop,0,"Vinyl (7"", 45 RPM, EP, Reissue)",
Ghostly International (GI-243 LP),Subwoofer Lullaby,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Living Mice,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Moog City,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Haggstrom,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Minecraft,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Clark,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Mice On Venus,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Dry Hands,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Wet Hands,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Sweden,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Cat,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Ghostly International (GI-243 LP),Danny,C418,Minecraft Volume Alpha,"Electronic, Stage & Screen",0,"Vinyl (LP, Album, Reissue, Repress)",
Music World (4CBS-1007),But I Do,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Hey Little Girl,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Nut Rocker,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Venus,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),New Orleans,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Donna,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tiger,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),The Girl Of My Best Friend,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),I Like It Like That,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Come Softly To Me,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Black Slacks,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Little Band Of Gold,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tallahassee Lassie,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Susie Darlin',Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Sorry (I Ran All The Way Home),Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tequila,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Turn Me Loose,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),I've Told Every Little Star,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Swiss Maid,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),At The Hop,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),West Of The Wall,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Why,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Hot Rod,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Seven Little Girls Sitting In The Back Seat ,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Then He Kissed Me,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Come Softly To Me,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tell Laura I Love Her,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tom Dooley,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Run To Him,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Sweet Talkin' Guy,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Da Doo Ron Ron,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),He's A Rebel,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),The Night Has A Thousand Eyes,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Dedicated To The One I Love,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Rubber Ball,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),The Green Door,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Little Old Lady From Pasadena,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Pipeline,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Wipe Out,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Surf City,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Little Deuce Coupe,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Drag City,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Let's Twist Again,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Tell Him,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Little Darlin',Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Teen Angel,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),It Might As Well Rain Until September,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Shout! Shout! (Knock Yourself Out),Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Only Sixteen,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
Music World (4CBS-1007),Suspicion,Various,The Greatest Hits Of Rock N' Roll 114 Original Greats,Rock,0,"Vinyl (LP, Compilation, Stereo)",
